stratum,note_id,title,creator_view,view_pct,fee,imp,leads,msg,fee_pct,imp_pct,lead_cost,msg_cost,cpc,ctr,paid_months
D,65b8abf1000000002c016b7a,颜值王者🔥宝格丽奢石岛台!!️,520.0,65.9,14.3,252.0,0.0,0.0,94.1,91.1,,,0.62,0.0913,5
D,65b8adab000000002c02acdc,保姆级教程🔥伸缩岛台这样做才对...,515.0,65.3,2.5,53.0,0.0,0.0,80.2,75.9,,,0.5,0.0943,5
E,63ae5477000000001f0243c2,定制平岛台🐾餐厨一体收纳空间瞬间大3倍,2641.0,97.5,1.85,40.0,0.0,0.0,76.5,71.0,,,0.37,0.125,5
E,63b7e4590000000022038166,我不想入坑❗听了邻居的建议做餐岛分离,1269.0,94.6,1.37,13.0,0.0,0.0,72.7,40.6,,,0.46,0.2308,4
E,63bac1840000000018013e62,2025年流行款:胡桃木+劳伦黑岩板岛台🔥,17848.0,99.3,8.58,357.0,0.0,0.0,90.7,93.7,,,0.22,0.1092,5
E,63be7b190000000022039474,2023年建议做开放式厨房配中岛台❗太美了❗,911.0,90.5,0.06,16.0,0.0,0.0,31.5,46.0,,,0.03,0.125,5
E,63c663db000000001c0071fa,2023聚餐必需品:大平层岛台能容纳8-10人❗,1037.0,92.7,0.83,2.0,0.0,0.0,65.6,6.3,,,0.83,0.5,2
E,63c7b8bd000000001f00ba81,科普:西厨岛台容纳空间和收纳怎么定制❓,618.0,77.2,0.02,4.0,0.0,0.0,22.9,13.7,,,0.01,0.5,3
E,63d1e16b000000001c00586f,错位岛台要不要做❓配上亚克力脚太美了❗,804.0,87.7,1.7,218.0,0.0,0.0,75.4,90.4,,,0.1,0.078,5
E,63d20600000000001b0278c7,邻居迫不及待打开的错位岛台❗太美了❗,702.0,83.2,0.03,4.0,0.0,0.0,26.1,13.7,,,0.01,0.5,2
E,63d4e5c50000000008026233,2023开放式厨房不做伸缩岛台😭我后悔了❗,618.0,77.2,0.01,5.0,0.0,0.0,16.6,18.5,,,0.01,0.2,3
E,63e0cd980000000004007785,"如果岛台装上轮子,你会发现厨房快乐加倍❗",1789.0,96.1,0.22,28.0,0.0,0.0,46.0,63.2,,,0.06,0.1429,5
E,63e1c119000000001d020e83,2023做一款餐岛分离式的“餐桌”😍,615.0,76.9,0.01,14.0,0.0,0.0,16.6,42.3,,,0.01,0.0714,3
E,643363910000000013036c3a,高能预警🔥智能未来3.0降临餐桌岛台,318.0,47.6,2.34,6.0,0.0,0.0,78.8,22.3,,,1.17,0.3333,2
E,646dae200000000013032917,到工厂来才知道更便宜佛山源头实力岛台工厂,302.0,46.8,2.17,34.0,0.0,0.0,78.2,68.3,,,0.72,0.0882,5
E,64885b9c0000000011013a45,颠覆传统橱柜🔥藏柜里隐形餐桌岛台,625.0,77.8,0.21,26.0,0.0,0.0,44.7,61.3,,,0.07,0.1154,4
E,648ab4b30000000013006987,颠覆传统餐厨⚖️65m2怎么拥有中西厨岛台,745.0,85.7,4.45,12.0,0.0,0.0,85.3,37.8,,,1.48,0.25,3
F,63a6a53f000000001f00d5e2,传统餐桌换成岛台🎃简直不要太美!,,,,,,,,,,,,,0
F,63a6a614000000001b0271df,2023年厨房c位🎉岛台设计走进百姓户,,,,,,,,,,,,,0
F,63aa6814000000001f00b384,一招教你变豪装👀岛台定制设计🤟帮到您,,,,,,,,,,,,,0
F,63acff92000000001b014eaa,2023年装修的宝子们🥳该做个岛台啦,438.0,54.9,,,,,,,,,,,0
F,63ad6220000000001f002202,都2023年了🤔大家都劝我放弃传统餐桌,448.0,56.5,,,,,,,,,,,0
F,63b003a30000000018011e57,流行居家趋势🎊2023必火🔥大平层岛台,838.0,88.7,,,,,,,,,,,0
F,63b2a3b50000000019023267,高级感定制岩板岛台🤫 收纳功能还贼牛,476.0,60.4,,,,,,,,,,,0
F,63b412ab0000000019021b18,2023定制岛台🍁不妨先看看这篇避坑科普贴,2399.0,97.1,,,,,,,,,,,0
F,63baaf49000000001f009235,结婚了!岛台要这样子选❗,588.0,74.3,,,,,,,,,,,0
F,63bd2b0b000000001f011d2f,不做岛台不知道❗厨房餐厅还能这么美❗,845.0,88.9,,,,,,,,,,,0
C,64fbe901000000001d01424c,"8m2小厨房✅,被问爆的岛台安装&设计来啦!",827.0,88.4,0.08,22.0,1.0,1.0,33.8,56.3,0.08,0.08,0.04,0.0909,5
C,65bc60fe0000000008022950,奶呼呼的岛台太哇塞了🔥颜值扛把子!!,407.0,52.5,2.92,15.0,1.0,1.0,81.5,43.9,2.92,2.92,2.92,0.0667,4
C,69f9a0ac000000003701d937,通透又显大的开放式厨房标配岛台🤔,125.0,35.9,1.18,19.0,0.0,1.0,70.2,51.7,,1.18,0.59,0.1053,4
C,63c8d157000000001f02357d,岛台不做收纳储物真的很可惜❗再配个水槽,716.0,84.0,0.04,20.0,0.0,0.0,29.1,53.8,,,0.01,0.2,5
